T,TM,Tm,H,PP,VV,V,VM,PM 2.5
6.7,9,2.8,93,0.25,5,13.1,22.2,92
9.4,12,7,87,1.27,9.5,22.4,29.4,62
7.4,9.1,4.6,95,0.51,6.3,14.1,20.6,66
11.6,12.1,8.3,92,0.25,7.2,17,22.2,63
11.3,12.3,10,90,1.78,9.2,27,35.2,49
8.6,10,6.7,85,0,10.3,22.4,35.2,60
10.6,12.3,9,69,0.25,10.8,39.6,48.2,45
10,13,5.8,73,0.76,10.6,25.6,42.4,37
3.1,7,0.5,84,0,10,13.3,29.4,52
2.2,5,0,87,0,8.7,18.3,24.1,55
1.2,4.6,-1.5,84,0,8.2,12.2,18.3,65
5.3,8.1,0.8,92,0,5.8,13.9,25.9,145
8.5,9.1,7.1,90,6.6,8.4,27,33.5,124
12.1,14.5,11,85,4.32,10.1,23.2,31.7,39
12.1,14,9,85,4.83,10.6,25.7,35.2,28
12.3,15.5,9,92,14.99,7.7,19.1,31.7,36
11.4,14,6,85,15.75,8.7,21.1,44.6,33
6.2,11.1,1.7,64,0,10.5,15.4,22.2,67
8.9,11,7,80,0,10.3,15.9,24.1,72
10.3,14,7,79,1.27,9.2,43.7,63,70
8.3,12.4,5,72,4.06,10.1,32,50,48
9.4,12,7.5,73,0.51,10.1,16.3,22.2,46
9.9,14,6,75,0,10.6,25.2,38.9,57
7.1,9.6,4.5,80,2.54,9.2,20.7,44.6,40
8.4,11.3,5,80,1.02,10.1,26.1,42.4,45
6.6,10.3,2.5,69,2.54,10.3,18.1,27.8,43
7.9,12.3,4,81,4.32,9.7,24.8,40.7,27
4.4,8.2,0,75,12.19,10.5,26.7,40.7,34
4.8,10.4,2.5,81,4.57,9.2,26.3,68.3,36
5.9,9.2,1.7,83,2.03,10,24.1,37,53
6.4,9.5,3.6,86,17.53,9.7,21.5,37,41
5,9.2,1.7,76,2.79,10.8,14.4,20.6,43
6.8,11.1,1.3,71,0,9.8,12.8,20.6,51
8.7,10.4,6.8,83,0,10.1,24.4,38.9,56
8.1,11.8,5,71,4.32,11.3,20.9,29.4,40
8.4,12.5,4.5,59,0,12.4,15.2,24.1,39
8.8,11.6,6.3,81,0.76,10.9,13.3,22.2,41
11.1,17,7,66,0,10.1,16.3,27.8,49
13.1,20,6.3,69,0,9.3,10.6,14.8,98
9.2,16.8,0,88,0,6.1,22,33.5,76
6.9,9.5,5,78,1.02,9.7,26.7,33.5,98
6.2,12.4,-1.5,39,0,11.1,15.7,25.9,47
6,11,0.8,39,0,10.5,19.8,27.8,64
7.1,13.5,1,53,0,10,15,22.2,65
5.9,10.3,0,62,0,10.3,12.6,20.6,64
10,14,5.9,67,0,10,8.9,13,60
15.2,22.5,8.6,62,2.29,6.9,13.9,20.6,51
17.3,25,8,43,0,11.9,8.7,16.5,64
18,25.1,10,40,0,10.3,9.4,16.5,68
12,18.8,6,60,0,9.5,25.7,40.7,63
7.4,13,0.9,50,0,10.9,21.1,33.5,67
11.6,19.4,2,40,0,10.8,17,24.1,42
14.4,19.3,10,71,0,6.9,18.3,25.9,22
15.1,21,10,53,0,9.2,22.4,31.7,67
14.9,20.6,9,44,0,11.9,19.4,29.4,78
14.6,20.4,10,50,0,10.3,13.5,18.3,66
13.3,21,5,48,0,9.3,10.7,16.5,57
16.1,24.1,7,52,0,15.8,10.2,31.7,57
11.1,17.1,0,73,5.59,14.5,21.5,31.7,26
11.9,17.2,6.6,58,0.51,11.7,14.4,24.1,24
13.6,19.6,9.3,70,0,19.8,10.6,18.3,34
15.5,21.2,7.5,42,0,10.8,9.6,16.5,52
16.8,23.6,8.9,52,0,11.9,11.5,16.5,54
13.6,22,2,88,0,11.6,8.9,16.5,61
9.9,15.5,4.7,55,0,10.3,23,35.2,43
9.9,15,4.5,51,0,11.1,25,31.7,65
11.2,17,4,51,0,11.1,18.1,25.9,49
16.8,24.2,8,55,0,11.7,10.2,16.5,33
19.8,27,11,60,0,11.1,11.7,14.8,30
23,30,14.7,54,0,11.4,8.3,16.5,24
17.3,23.4,10.4,59,0,10.5,9.4,18.3,43
19.2,25,11.5,51,0,10.6,14.6,22.2,58
19.6,25.3,12.6,50,0,11.4,15.4,20.6,59
18.6,23.1,13,41,0,11.6,17,29.4,59
20.1,26.1,12,45,0,11.4,15.7,24.1,39
22.4,29,14,45,0,11.6,11.7,18.3,51
17.5,25.7,1,64,0,11.9,15.6,27.8,76
14.2,20,9.7,62,0,12.4,12,18.3,27
13.6,18,9.8,73,0,10.9,15.2,29.4,37
13.8,18.7,10.8,68,0,10.8,15,22.2,47
18.4,23.4,13,63,3.56,11.7,14.1,25.9,50
16.8,23,8,74,0,10,13.9,22.2,43
18,23.3,14.4,69,0.51,11.4,15.2,25.9,44
16.7,21.3,7,70,1.52,13.4,11.9,18.3,48
19.3,24.8,14.7,60,0,10.6,6.7,14.8,46
17.7,22.9,13,73,0,11.4,14.4,29.4,47
27.2,34,19,41,0,11.3,12.6,18.3,60
20.2,27.1,17.9,70,23.11,10,23.7,42.4,64
20.1,22.4,17.9,78,0,11.7,18.3,27.8,37
17.7,22.6,13.8,68,3.3,10.6,16.3,29.4,36
17.6,22.5,12.6,61,1.27,10.8,13.5,20.6,33
17.9,25,10.5,52,0,10.6,8.7,18.3,41
20.5,27,13.7,60,0.25,11.4,15.6,25.9,42
23.4,31.5,17,55,0,10.8,15.4,27.8,38
20.1,27.4,12,45,0,10.8,14.3,20.6,42
18.6,26.1,15,59,0,10.8,13,22.2,46
18.6,22.6,14.7,67,2.29,10.6,12.2,25.9,39
22.4,30,13.6,47,0,10.5,10,25.9,52
19.8,28.8,15,56,0,10.6,20.2,25.9,39
18.8,25.1,12,45,0,10.8,18,25.9,44
21.5,27,16.7,61,0,10.9,18,29.4,44
20.4,25.6,15.9,60,2.29,9.5,16.7,27.8,39
23.6,32,16.4,43,0,12.1,23.9,37,42
28.9,38.6,19.3,34,0,10.9,14.8,37,58
23.1,32.6,18.4,62,0,10.8,13.7,20.6,68
19.8,26.9,15,55,0,10.8,15.6,22.2,53
17.7,22.9,14,61,0,10.8,14.4,29.4,41
29.3,35.5,21.5,34,0,10.8,12.6,20.6,60
29.6,37.1,20.8,35,0,10.8,9.8,18.3,61
30.7,38.2,23.5,37,0,10.8,16.5,37,65
24.1,29,20,64,0.25,10.8,15.2,29.4,60
21.6,28,19,78,4.57,10,13.5,20.6,48
22.1,27.3,17.9,72,0.25,9.8,7.6,13,48
21.8,25.1,17.9,71,0,10.8,16.7,29.4,35
26.2,32.3,19.9,56,1.78,10,14.6,24.1,32
24.9,30,20.9,49,1.78,10.8,25,40.7,35
21.1,28.3,15,58,0.25,10.8,25.9,44.6,36
19.8,25.5,15,56,0.51,10.6,23.9,35.2,42
19.3,26.4,12.5,60,0,10.8,15.4,37,36
15.4,19.8,11,67,1.52,10.6,10.9,18.3,30
15.3,21,9.7,64,0,10.6,11.9,16.5,36
16.3,22.5,9.7,57,0,10.8,9.4,14.8,51
21.8,27.2,16,48,0,10.8,13.9,24.1,50
17.3,24,10,57,0,10.6,8.3,14.8,44
19.7,26.5,14,64,0,10.6,8.3,16.5,44
22.1,28,17.9,59,0,10.1,10.7,22.2,53
19.9,28,12,52,0,10.8,8.7,13,52
23.8,34,13.9,42,0,10.8,10.4,20.6,63
26.1,34.4,19.5,40,0,10.8,8.5,18.3,87
23.6,28.5,19,59,0,10.3,16.7,24.1,62
22.8,29,18,58,2.03,10,9.3,18.3,68
19.1,27.2,11.8,47,0,10.9,11.5,20.6,65
11.1,14,9.5,73,7.11,10.3,28.9,38.9,29
10.9,15.3,8,68,3.3,10,28.2,38.9,25
12.3,15.2,9.4,90,13.46,8.7,30.9,42.4,32
12.3,16.3,7.8,89,0,9.2,8.5,14.8,58
11.2,20.8,0,94,0.51,8,13.1,29.4,41
10.6,16,2,77,68.58,10,19.8,42.4,41
12.1,16.6,5.6,75,4.32,10.6,9.8,22.2,52
11.6,20.2,4.8,76,0,10.6,10.2,22.2,57
12.4,18.7,7.7,85,0,9.8,8.3,14.8,44
7.5,12.2,0.6,81,0,10.3,5.9,13,56
8.6,12.5,5,87,0,8.4,8.3,20.6,36
6.7,9.4,4.8,88,0,9.7,17.6,29.4,57
8.6,16,-1.2,79,0,8.5,12.4,24.1,70
13.3,18,8.1,64,0,11.1,13.3,29.4,72
15.6,20.5,11.9,56,0,11.7,18,29.4,49
12.1,18,3,81,0,11.1,13,25.9,37
7.4,14.8,3,90,24.38,8.9,10.6,38.9,38
9,14,4.5,77,7.11,9.8,7.8,14.8,38
10.6,21,3.2,83,0,9.7,10,18.3,47
11.2,18,4.8,82,0,10.1,11.3,20.6,53
12.1,18.2,6.7,84,0,9.3,9.8,18.3,18
10.1,12.4,7.6,90,0,8.2,8.5,16.5,30
11.4,16,8,82,0,9.8,13.7,18.3,69
9.9,16.9,2,100,0,11.7,8.1,16.5,74
11.1,17,6.7,86,1.02,10.3,12,18.3,55
11.1,16,5.7,80,0,10.1,11.5,18.3,53
11.1,18,5.7,80,0,10,13.5,27.8,60
9.1,16.6,2,92,0,9.3,10.6,24.1,51
8,10.8,3.8,78,0,10.9,13.9,24.1,58
5.9,8.8,1,79,3.3,10.3,25.4,37,37
1.8,6.2,-3,87,0,9.8,9.3,22.2,65
4.3,11.1,1,81,0,9.8,15.6,22.2,73
4.7,11.3,-0.4,76,0,9.7,17.2,27.8,87
7.1,12.5,3.4,70,0,10,19.1,27.8,109
2.2,4.3,-0.4,92,0.25,7.9,12,25.9,93
2.2,3.3,0.9,89,1.02,10.3,16.1,27.8,50
4.2,7,1.5,76,0,9.8,8.3,16.5,52
2.8,5.4,0.7,92,0.76,10,7.4,14.8,53
3.1,6,-0.3,92,0,7.6,11.3,18.3,84
0.7,4.5,-4.4,88,1.02,9.2,10.9,22.2,69
4.7,8.5,0.6,85,8.64,11.3,6.9,14.8,49
6.1,12,0.6,78,0,10.6,12.8,20.6,38
8.9,12.4,6.3,84,0,9.8,7.4,18.3,37
7.8,15.2,2.3,90,0.51,10.1,10.6,18.3,55
7.3,9.3,5,96,0.25,7.7,7.6,14.8,59
7.2,10,3,95,10.92,6.1,8.1,18.3,46
2.3,6.8,0.8,87,2.29,10,30.2,44.6,43
0.6,3,-2,80,0.51,10.9,21.3,37,44
-0.2,7,-6.1,75,0,10.1,11.9,24.1,55
1.2,4,-4.6,92,2.29,9.3,10.4,18.3,51
