T,TM,Tm,H,PP,VV,V,VM,PM 2.5
7.1,8.8,5.5,87,1.52,9.8,23.3,35.2,51
7.9,12,5,78,1.02,9.8,26.3,51.9,51
5.5,9,2.6,88,8.38,10,10.9,16.5,54
7.7,11,3.8,87,0,5.8,20.2,33.5,73
4.8,6.4,2.9,79,1.52,10.3,19.6,31.7,43
4.2,8,2.6,84,0,10.3,19.8,29.4,53
2.4,6,0.6,75,3.81,11.4,20,33.5,59
-3.2,0,-6,84,0,9.7,8.9,14.8,76
-3.7,-0.1,-7,92,0,3.7,6.7,9.4,112
-0.9,5.2,-5.4,80,0,4.5,8.7,16.5,143
8.8,14.4,4.9,77,0,8.4,14.1,24.1,85
9.9,12,7,84,0,8.9,21.1,35.2,92
10.8,12,9.8,79,0.25,10.8,31.3,40.7,77
9.3,13,6.1,93,12.7,8,19.6,33.5,37
12,13,11,76,2.54,11.9,26.9,38.9,46
9.9,12,6.7,87,0,10.3,23.3,37,45
5.7,8.2,3.9,83,1.52,11.1,19.6,35.2,44
9.1,13.2,7,68,3.3,10.8,31.1,46.5,62
9.3,12,6.5,73,0.76,10.3,42,57.6,44
7.2,13,2.6,83,8.64,9.7,29.8,63,41
5.7,9.3,2,94,0.76,7.4,17,27.8,62
5.3,8.2,1.9,86,13.46,9.8,14.1,25.9,68
3.2,7.1,0.6,80,0,13.5,22.2,38.9,56
4.7,9.4,0,74,0.76,10,15.4,25.9,100
9.6,12.2,5.5,89,3.81,8.4,29.8,37,69
11.1,13,10,85,0.76,9.5,25.7,33.5,47
2.8,7.4,-0.4,77,0,8.7,8,16.5,84
2.9,7.4,-1,64,0,9.2,13.3,24.1,86
4.1,10,-1,90,0,7.6,17.4,27.8,77
7,10.6,0.8,76,5.08,9.8,25.7,42.4,76
5.8,8.5,3.5,72,5.08,10.8,24.4,44.6,45
3.4,6.3,1,79,0,10.1,15.4,33.5,61
4.4,8.3,0,69,0.51,10.1,10.7,18.3,59
5.3,8,4,82,0,10.3,26.5,35.2,64
5.1,11.2,0,73,0,6,18.1,27.8,142
4.6,9,0.8,73,0,9.3,21.1,35.2,118
6.3,13,-0.1,64,0,8.5,17.8,29.4,92
5.4,7.1,3.3,80,0,8,16.7,22.2,148
5.2,6.2,4,74,0,10.1,15,20.6,94
7.1,10.3,3,71,0,9.8,15.2,24.1,83
9.2,14,6.9,85,2.54,8.4,13.9,22.2,102
10.9,15,6,77,2.03,7.7,20.7,44.6,82
9.9,14.7,6.4,71,10.67,9.5,26.5,44.6,68
6.3,7.4,5.6,90,5.08,8.5,22.8,35.2,59
7.3,12,3.6,77,16.26,6.9,12.2,18.3,62
7.4,11,2.7,87,0,7.1,11.9,22.2,98
14.7,20.4,9.7,74,1.27,8.9,13.1,22.2,94
8,11.4,5,69,1.02,12.1,18,29.4,65
9.2,13.9,6,71,0.51,10.9,9.4,16.5,53
8.2,13.6,4.5,78,0,10.5,12,29.4,59
11.8,17,8,75,9.91,11.6,10.2,18.3,65
11.4,17.3,6.5,75,0,10.5,10.4,22.2,68
12.7,16,9.3,72,1.78,12.1,24.8,38.9,65
9.6,15.1,4,64,0,12.2,9.6,20.6,62
7.1,11,2.6,78,5.33,9.7,19.4,33.5,52
5.3,9.2,2,77,1.02,10.1,14.3,31.7,56
5.8,11.3,1.5,71,1.52,10.9,13.1,24.1,44
8.9,15.1,2,61,0.51,11.6,17.2,29.4,45
12.1,19,4,57,0,12.7,9.4,20.6,45
11.8,16.2,7,60,0,11.3,14.6,27.8,52
